,hydat_id,pwqmn_id,hydat_dist_from_net_hyRivers,pwqmn_dist_from_net_hyRivers,dist_hyRivers,pos_hyRivers,hydat_dist_from_net_OHN,pwqmn_dist_from_net_OHN,dist_OHN,pos_OHN,error
443,02KF005,18000014102,298.0133529381268,123.66970623300043,9342.266485908496,Down,192.4368143924334,3.1038276127297104,9609.84241265519,Down,-0.027843945327794786
444,02KF005,18000014002,298.0133529381268,328.61306959888634,9354.631345597523,Down,192.4368143924334,196.5686860904916,9561.978886154971,Down,-0.021684584647815093
445,02LB101,18207012002,90.26819510319628,38.555501987269416,3217.587239160403,On-Up,19.411798491734523,0.30644924825785114,4810.188305934106,Up,-0.33108913112798205
446,02LB101,18207013002,90.26819510319628,28.555815353782116,427.2363464155587,On-Up,19.411798491734523,1.070229944370942,215.10299446551443,Up,0.9861943227575746
447,02MC036,12008600102,22.043281810017156,6.6137777312998125,66.86232620594119,On-Up,31.741538355198067,0.592958340823697,66.86232620594119,On-Up,0.0
448,02MC036,12008600202,22.043281810017156,167.56234165037816,1903.2856452774552,Up,31.741538355198067,1.3711280458462851,2638.8189602660736,Up,-0.27873580039551266
449,02MC036,12008600502,22.043281810017156,276.73457455105284,3820.4288069728796,Up,31.741538355198067,0.30784368061580764,4991.216494744619,Up,-0.23456960622815942
450,02MC036,12008600802,22.043281810017156,39.73511011632624,8692.459345081501,Up,,,,,
451,02MC036,12008600302,22.043281810017156,157.4048087466127,3471.0289879496636,Up,31.741538355198067,0.03904634296402704,5020.8530059492605,Up,-0.3086774331300268
452,02MC036,12008601102,22.043281810017156,55.99588609941092,4107.627092748426,Up,31.741538355198067,3.3193999243854697,5986.48826904417,Up,-0.3138503061989182
453,02MC036,12008600602,22.043281810017156,63.96803335627304,4563.146620982601,Up,31.741538355198067,1.0277004148074156,6569.0873809016775,Up,-0.3053606450343395
454,02MC036,12008600402,22.043281810017156,167.71513658789686,5285.741885182108,Up,31.741538355198067,0.45223477063285766,7470.184177270775,Up,-0.2924214772020188
455,02MC036,12008600702,22.043281810017156,116.68366882733112,7862.112445328265,Up,,,,,
456,02LB013,18207010002,184.16686232342596,97.18261296039438,185.25782208079895,On-Down,75.86751558323358,13.79324431000176,185.25782208079895,Down,0.0
457,02LA004,18003303102,28.246159193126793,54.76039055062162,1471.0143866952312,On-Up,22.59526611888426,5.650108554760904,1455.8992242183426,On-Up,0.010382011491903759
458,02LA004,18003301202,28.246159193126793,110.36469777117215,7831.592990011804,On-Up,22.59526611888426,0.19377659074185527,8333.662494779488,Up,-0.06024596089440847
459,02LA004,18003303402,28.246159193126793,227.21934165435545,8083.6348210211345,Down,22.59526611888426,3.812547047966981,8638.464227708919,Down,-0.064227783094604
460,02LA004,18003300102,28.246159193126793,179.01680303031003,9596.958738953424,Down,,,,,
461,02LA004,18003300202,28.246159193126793,23.251593006792138,9686.679935376762,Down,,,,,
462,02LA008,18003301202,140.65545243274715,110.36469777117215,6569.411877684738,Down,,,,,
463,02EB103,3008502802,162.94457934869376,144.02009890018368,18.925283589561655,On-Up,8.297459611382466,9.36155390447663,18.925283589561655,On-Down,0.0
464,02MC028,12008600802,263.7875685430951,39.73511011632624,4142.328651322644,On-Up,20.189240282164356,0.06991362134353658,4772.985518203804,Up,-0.1321304798591746
465,02MC028,12008600502,263.7875685430951,276.73457455105284,729.701886785977,On-Down,20.189240282164356,0.30784368061580764,442.94195898091414,Down,0.6473984276965258
466,02MC028,12008600202,263.7875685430951,167.56234165037816,2646.8450484814016,Down,20.189240282164356,1.3711280458462851,2795.339493459458,Down,-0.05312215039550798
467,02MC028,12008600102,263.7875685430951,6.6137777312998125,4490.546970409809,Down,20.189240282164356,0.592958340823697,5380.6655950245295,Down,-0.16542909216246562
468,02LA007,18003303602,300.91973535233143,324.7397055103062,28.46587261325452,On-Up,17.909337830089097,0.4986109812306445,28.46587261325452,On-Up,0.0
469,02LA007,18003302802,300.91973535233143,12.524089683214648,7834.503391523395,Down,17.909337830089097,0.6285358886399686,9106.153374150468,Down,-0.13964732751338133
470,02LA007,18003301602,300.91973535233143,180.38784654775682,7837.454867101875,Up,17.909337830089097,7.736041165368016,7926.249270798169,Up,-0.011202575223495704
471,02LA007,18003301702,300.91973535233143,39.494093605956714,9534.578467836554,Up,,,,,
472,02LB006,18207014002,235.3723083132581,740.7450067368886,2840.9875153352996,On-Down,16.210856526934116,1.0100667840492996,3007.2184618325,Down,-0.05527730978211166
473,02LB006,18207014502,235.3723083132581,226.95840735040278,15.513913917454955,On-Down,16.210856526934116,0.8823968981824035,15.513913917454955,On-Down,0.0
474,02EB004,3008500602,189.0070133016022,173.01044389388554,30.923690002027353,On-Up,21.935546172907816,0.09356592182483876,30.923690002027353,On-Up,0.0
475,02KF012,18343000202,104.56905490292897,85.98650215446207,18.619745890346437,On-Down,18.71793291662016,2.3634052708227364,18.619745890346437,On-Down,0.0
476,02KF012,18343025002,104.56905490292897,38.736596873715946,9436.616783107274,Up,,,,,
477,02LA012,18003303702,416.53317224548016,395.976351719549,29.224706915330216,On-Down,29.349269695543857,2.651771177828077,29.224706915330216,On-Up,0.0
478,02LA012,18003302802,416.53317224548016,12.524089683214648,1642.3736946672973,Down,29.349269695543857,0.6285358886399686,1685.6946952655849,Down,-0.025699197322005138
