,distance,drainage_delta
825,697733.7676,18100
826,647437.7088,1899.46
827,1099423.619,690
828,2685005.1,110
829,2273365.378,9400
830,3024933.961,1589
831,2735295.719,260
832,553271.9561,
833,399913.6318,944
834,653798.826,
835,82135.72051,190
836,2483226.241,1662
837,1580726.925,1899.03
838,3163730.558,1838.599998
839,489235.811,2810
840,573766.7714,1654
841,1075715.68,1014
842,3191384.674,17000
843,3682736.05,1801.599998
844,1303187.816,16500
845,696283.994,
846,358417.326,1602
847,548849.6057,1875.299999
848,349623.9843,540
849,577073.2188,18400
850,730357.4648,1512
851,559063.7023,90
852,516672.936,1605
853,3124557.71,1515
854,2557952.446,1265
855,663794.9363,270
856,3048818.985,250
857,819062.2051,1845.599998
858,3663298.445,1752
859,504694.8888,1095
860,2934460.657,340
861,677126.4677,1820
862,2778596.232,1732
863,2517049.613,1520
864,2878150.183,1643
865,390071.9151,1877.1
866,346948.8108,12600
867,602825.9882,1732
868,3315820.68,1126
869,1583119.73,1899.88
870,836403.7639,1721
871,612046.9219,1784
872,3586071.724,690
873,62161.42287,4100
874,566497.6575,
875,638852.5486,1884.7
876,665767.6323,
877,813105.2103,
878,949843.825,
879,706753.4319,
880,2918446.756,2580
881,726041.4303,
882,673358.1845,1820.199997
883,1582074.354,1899.46
884,682094.1101,1585
885,729624.33,1732
886,2688483.181,4990
887,580753.1494,1868.9
888,728262.0499,1149
889,2691272.401,1113
890,3011680.746,1689
891,3296753.924,12800
892,536196.8232,1315
893,566426.558,1775
894,656710.6723,
895,2628268.649,12000
896,795054.3871,1730
897,2436189.05,1746
898,1064699.68,1805.599998
899,3827532.839,1863
900,729732.2557,
901,2788206.566,1669
902,766129.2854,10500
903,1097588.066,7160
904,538413.1,560
905,2805896.061,1180
906,2869248.677,13700
907,2617642.626,1780
908,1063805.427,1465
909,549916.6465,
910,561296.9649,1765
911,3712645.979,1876
912,786612.1419,207817.5
913,680854.5616,
914,700737.6857,1892.75
915,673872.2478,1898.63
916,2764073.02,1786
917,547853.2429,1336
918,3079790.504,1866.099998
919,824289.2524,210100
920,448975.363,
921,190428.5285,2500
922,785158.2129,
923,672357.8025,650
924,2147398.018,280
925,268743.3368,210
926,1406067.506,1894.6
927,707318.5572,1898.73
928,1029889.083,580
929,2891740.737,1885.3
930,65870.071,75
931,52287.10167,184.5
932,618262.1956,1695
933,0,0
934,95210.82994,181.2000008
935,1836670.39,26195
936,467641.2396,169
937,150931.0057,192
938,529593.9285,185.3999996
939,1306228.688,255
940,137187.6055,1455
941,156673.2207,204.66
942,633892.1081,
943,1357675.603,5215
944,57785.19778,164.5999985
945,203368.6451,13795
946,296579.3985,162
947,602909.3263,5345
948,1531800.947,16
949,3244536.429,10895
950,641364.0248,734
951,1119703.661,3685
952,3276949.765,
953,1135615.242,15317
954,185289.2257,
955,3983097.838,15795
956,4288615.994,127.8000031
957,3527165.121,202.9100001
958,118189.9693,310
959,3021884.951,201.8299999
960,376727.1444,114
961,1831255.95,37
962,2983963.456,26
963,258916.7323,
964,3186254.289,1575
965,239354.3693,62
966,3035467.996,90
967,699536.1745,
968,1083264.705,385
969,1822303.319,197.75
970,167197.2454,193.1000004
971,830397.7523,3285
972,97236.70627,190.8000002
973,1035405.665,182
974,156975.4072,114.3000031
975,3211337.372,0
976,575832.2352,17
977,370686.2164,77
978,3293345.318,
979,3819535.391,1705
980,3509583.829,68
981,176864.8483,
982,4344060.586,
983,4211020.173,
984,2912717.614,4355
985,708069.4457,
986,3039029.51,123
987,3398929.157,72
988,1811773.642,19395
989,52566.98286,
990,1620545.465,4305
991,240007.4269,187.6000004
992,206022.4228,168.5999985
993,4246890.856,419
994,716135.7756,33
995,3767946.644,934
996,908032.9605,4025
997,1481476.645,1495
998,3830333.264,1945
999,325803.7152,280
1000,712801.1654,4875
1001,976135.6388,
1002,3831108.917,875
1003,219479.764,178
1004,25738.96636,172.4000015
1005,369794.2183,
1006,571482.83,4185
1007,371520.0003,204.48
1008,3386932.213,204
1009,981851.3007,367
1010,1959109.067,5605
1011,3067268.652,160.7999992
1012,82964.81743,
1013,1470524.822,4815
1014,282780.3127,202.1500001
1015,2297340.033,1295
1016,114236.6436,67
1017,3214561.472,845
1018,126650.9536,161
1019,1035404.306,3575
1020,3068586.46,4995
1021,3082025.692,569
1022,643279.3622,4145
1023,1160326.98,2105
1024,4140274.763,128.9000015
1025,943239.2228,
1026,285040.0411,141.2999992
1027,290680.7617,135.0999985
1028,3830892.079,
1029,3478182.408,132.6999969
1030,370965.0388,199.04
1031,764399.1739,148
1032,3039144.188,192.5
1033,2850749.438,140.1999969
1034,2468355.63,3435
1035,137143.6125,125.6999969
1036,2786526.304,
1037,3351992.968,1865
1038,592130.1711,196
1039,918575.6758,
1040,346081.0858,6685
1041,335360.2167,1375
1042,134678.7767,20
1043,345162.9117,167.7000008
