,origin_id,hydat_id,origin_dist_from_net,hydat_dist_from_net,dist,pos
37,10776,01CB018,157.41927356401314,186.7028957322087,598.379855742264,On-Down
38,10015,01CB018,0.3260507150938731,186.7028957322087,1492.462689739291,On-Up
39,9880,01CB018,219.85855521680685,186.7028957322087,2893.3910461423793,On-Up
40,10526,01CB018,648.3134490917483,186.7028957322087,2969.8931287901187,On-Up
41,10066,01CB004,355.84025980425656,49.87919345676787,5489.474738426644,Down
42,6610,01CB004,51.056361497376756,49.87919345676787,61.45327282275943,On-Down
43,9689,01CB004,561.4851767373045,49.87919345676787,1558.1528368736467,On-Up
44,9895,01CB004,359.00944700480966,49.87919345676787,1603.0049424798533,On-Up
45,15906,01AJ009,131.63611701358096,249.2862609828442,9891.238502837263,Down
46,15476,01FB001,233.46471026378111,165.37287553543942,168.70456071479094,On-Down
47,6639,01FB001,68.3009852682963,165.37287553543942,379.59377933492704,On-Up
48,10491,01CB001,147.57626590773944,172.08633450452595,5281.375831225581,Down
49,10491,01CB013,147.57626590773944,47.20667031799625,5281.3784123551795,Down
50,10491,01CB006,147.57626590773944,320.1321213517514,354.71017303877716,Up
51,9822,01CC007,203.11635639147346,171.92514271575217,5572.138045436546,Up
52,10199,01CD004,58.44893534923416,10.996779862239517,1315.8040510636597,On-Up
53,10492,01CD004,223.5739432679521,10.996779862239517,3109.9669880898787,On-Up
54,10875,01CB002,35.08116605632683,237.28433707505587,212.3317729098261,On-Down
55,10875,01CB005,35.08116605632683,358.7363303656499,324.3835118270145,On-Down
56,10692,01CB002,572.4029188556725,237.28433707505587,3142.3208230833006,On-Up
57,10692,01CB005,572.4029188556725,358.7363303656499,3184.8257274595217,On-Up
58,9879,01CC001,156.15486901654734,78.5589566912163,4978.09097294654,Down
59,10878,01CC002,228.80377803415217,158.03434557295878,1629.9537427831947,On-Down
60,10878,01CC003,228.80377803415217,480.8041869098968,6957.002865590664,On-Up
61,10878,01CC010,228.80377803415217,223.98555116579422,5052.989049732343,On-Up
62,10647,01CC002,137.403783868904,158.03434557295878,1418.4215075579414,On-Down
63,10647,01CC003,137.403783868904,480.8041869098968,7168.535100815918,On-Up
64,10647,01CC010,137.403783868904,223.98555116579422,5264.521284957596,On-Up
65,10272,01CC002,161.70731328317888,158.03434557295878,877.0158182297346,On-Down
66,10272,01CC003,161.70731328317888,480.8041869098968,7806.048859496007,On-Up
67,10272,01CC010,161.70731328317888,223.98555116579422,5902.035043637686,On-Up
68,9565,01CC002,303.55959477059605,158.03434557295878,430.85671001757567,On-Down
69,9565,01CC003,303.55959477059605,480.8041869098968,8186.492897588489,On-Up
70,9565,01CC010,303.55959477059605,223.98555116579422,6282.479081730167,On-Up
71,10700,01CC002,352.0810574273711,158.03434557295878,2296.914440273873,On-Up
72,10700,01CC010,352.0810574273711,223.98555116579422,8979.85723278941,On-Up
73,10248,01CD001,55.80611012320982,97.61322990980162,4605.077080812444,On-Up
74,10248,01CD002,55.80611012320982,118.7496745868117,5808.806732376053,On-Up
75,10248,01CD003,55.80611012320982,124.91967852245968,691.7744354880801,On-Up
76,10734,01CD001,154.42491101802258,97.61322990980162,5105.165462808336,On-Up
77,10734,01CD002,154.42491101802258,118.7496745868117,6308.895114371945,On-Up
