,Station_ID,unique_ind,dist_along,geometry,dist_from
44961,16018401502,2523064.0,94.68716936894235,POINT (373940.8362819997 411983.83893199504),1.0770642404863346
45289,16018401602,2531828.0,1267.0255435856707,POINT (368777.97323325346 423365.7038945623),3.470368636106261
45617,16018402702,2529768.0,4405.819392794371,POINT (396566.7170561043 371121.2809183531),1.2053044457858417
45926,16018402902,2520581.0,25.692185216239313,POINT (370909.5924702824 416684.0884421606),16.307782478596483
46248,16018403202,2513744.0,113.92519028074123,POINT (358443.84647343605 398817.5905910649),1.1797756910212962
46576,16018403502,2524101.0,1280.6976084296452,POINT (450536.6743568283 351338.6036889272),1.3301044557400514
46826,16018403602,2526260.0,164.52815606289676,POINT (390412.669927125 413421.2119088862),0.43260380761071127
47154,16018403702,2521405.0,41.65284004863813,POINT (383370.61782056367 440340.92050862487),3.0516813402366614
47475,16018403802,2522943.0,16.381843137712178,POINT (370927.8907564041 396004.69423147244),0.5126026174683445
47803,16018403902,2533387.0,338.7965649801235,POINT (385619.4960271234 459758.66687711794),0.9601178642770201
48131,16018404402,2524561.0,1275.0299893000583,POINT (395772.4544093074 384896.3383074023),3.5527472987204565
48459,16018405102,2526675.0,199.98912101034716,POINT (366430.65665981476 426795.94756172254),5.007535281694866
48787,16018407702,2519305.0,64.30153956608969,POINT (354449.6103582057 430394.508505032),6.063975888902828
49115,16018409102,2519748.0,435.259134036734,POINT (349849.19597758254 441803.1111932337),3.5112793334536656
49443,16018409202,2523893.0,421.3360362583645,POINT (426717.812304869 363350.4979114008),2.306917874329105
49771,16018409302,2515099.0,165.12009420770954,POINT (402346.3532962412 376023.133726055),2.3268788188446807
50098,16018409502,2521976.0,30.43274599130193,POINT (421970.8868541689 362982.86575979274),3.68588664490882
50425,16018409602,2521230.0,477.63602219240965,POINT (421771.9808195861 364341.3459853231),0.4166327745885421
50753,16018409902,2523531.0,336.85801923687774,POINT (390134.30695263273 431148.90943354194),3.811439376394941
51081,16018410002,2520529.0,728.5125793141706,POINT (358821.8554284064 445303.1919692278),3.5992937788631516
51391,16018410102,2518512.0,755.5353402261874,POINT (384194.6381076904 403331.2007889707),3.0233482450669675
51718,16018410202,2531305.0,4845.713419968222,POINT (398123.26669681055 421241.14391550096),3.212823928382238
52040,16018410302,2515784.0,36.07750681320566,POINT (374029.2803836789 424108.54692437564),2.8659738836341737
52365,16018410402,2526050.0,571.7513130442907,POINT (375065.61792978726 436410.06135377137),3.519224111104389
52675,16018410602,2532146.0,667.8512874212676,POINT (384880.3459706935 372155.46679037675),4.973305767704519
53003,17002100602,2257187.0,928.3229410575734,POINT (556681.331160718 514436.53098254063),1.6484714154564506
53223,17002100702,2377290.0,279.5474290885176,POINT (569697.2223369852 531621.1560227304),3.1496645946247237
53426,17002100802,2257138.0,35.963577813522726,POINT (547342.2842624526 509412.60595099087),1.410421635659079
53646,17002101102,2257082.0,68.4598684182631,POINT (542876.6654552032 516401.97156879015),45.13906265774866
53867,17002101302,2261408.0,17.55430675399379,POINT (544197.9030153324 525670.5118993506),4.063031916368514
54088,17002101602,180120.0,9.137113013515334,POINT (547659.3348659636 541457.3083953522),5.976364868450727
54309,17002101702,514437.0,173.20688314298914,POINT (549233.3151622261 549559.2659933226),0.41206958547896483
54530,17002101802,690660.0,62.18910475970254,POINT (538018.0455370614 548138.8068600874),7.495987648640345
54749,17002102102,2513277.0,478.31724988108147,POINT (521949.4562304305 544702.5888349578),5.786336565393521
55223,17002102302,902572.0,44.945689973344045,POINT (506562.20195059327 542820.2373906029),4.064589868054665
