,Station_ID,unique_ind,dist_along,geometry,dist_from
51,02BD006,2118388,343.5652737,POINT (17415.85254240563 907477.2920357329),14.60434581
52,02BD007,2114703,862.9776572,POINT (14021.121651767819 911118.5328541392),35.66780286
53,02BE001,2039216,410.7941176,POINT (43247.69853899532 827615.6182649108),99.52002518
54,02BE002,2039756,38.28800929,POINT (29083.87064671741 820659.9140253682),3.94770851
55,02BF001,2046664,95.64230017,POINT (37196.34707255572 797110.0827426189),28.26960906
56,02BF002,2001135,1458.222588,POINT (79193.40603334641 781583.8842675847),34.13396361
57,02BF003,2655016,1249.071814,POINT (46746.06111816205 744151.8438224432),8.002396236
58,02BF004,2001839,898.6503436,POINT (41509.291190796925 742363.5688683728),2.120852141
59,02BF005,2052599,678.7162894,POINT (43652.93560135396 803783.7101391399),0.00333039
60,02BF006,2052504,946.4272955,POINT (45040.29942569183 802449.0969754138),14.44117466
61,02BF007,2045947,737.5105497,POINT (45240.41400816901 801798.8681101177),2.717632569
62,02BF008,2049089,227.0325387,POINT (45780.20215834958 801975.4111630952),20.87478796
63,02BF009,2050004,465.7593838,POINT (46013.02821895252 803271.702485188),23.99236587
64,02BF012,2050771,54.07694024,POINT (46580.60211674129 803841.1432042937),4.710079479
65,02BF013,2044937,701.7579681,POINT (44740.13970361184 801452.3397770425),21.95911522
66,02BF014,2006097,1073.043857,POINT (55263.85944094802 765141.5670972655),43.44926873
67,02CA001,,,POINT (49549.634432391635 741710.4648076702),
68,02CA002,2022821,1445.238712,POINT (55692.110475402966 747779.2993229165),18.61711813
69,02CA007,2028550,1186.388602,POINT (100114.33259629858 744816.1257709803),35.67528221
70,02CB001,1923462,487.9034049,POINT (137660.06363403628 788533.1481276551),50.28770049
71,02CB002,1918980,1117.379349,POINT (142053.4451881167 783599.5779700736),40.53877336
72,02CB003,1926630,379.163043,POINT (121639.63633170554 794495.3636363683),31.8594341
73,02CC002,1932999,3291.515817,POINT (138575.4089033636 717440.5849747357),22.50132914
74,02CC003,1940345,51.20283073,POINT (141685.8109520803 714711.1001709412),35.80185863
